modelo,recall_cv_mean,recall_cv_std,recall_train_mean,precision_cv_mean,precision_cv_std,f1_cv_mean,f1_cv_std,pr_auc_cv_mean,pr_auc_cv_std,roc_auc_cv_mean,roc_auc_cv_std,fit_time_s,gap_train_test_recall
Dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16829473424589964,0.0005015828395101426,0.5,0.0,1.1424601078033447,0.0
DecisionTree,0.7651533635413037,0.03816996464695126,0.9409659582103185,0.6011417135638889,0.015622080560302468,0.6726085565752407,0.013260699268239215,0.6668411446288832,0.01514865126246458,0.8582528051421491,0.0170627011535644,0.9211652278900146,0.17581259466901478
RandomForest,0.8430550714534683,0.031950939245433,1.0,0.8287897161028379,0.028144308934188275,0.8352516271646137,0.019919890207979636,0.9094004320591165,0.009924873456909544,0.9699097362611827,0.009954249883611677,1.1332039833068848,0.15694492854653175
XGBoost,0.8338184036249563,0.04261163155445872,1.0,0.8836321940352547,0.009902660777073061,0.8576080747165248,0.026592499390489282,0.9010844708867225,0.02344086705967587,0.9663123833908595,0.012130459134338396,0.9142293930053711,0.1661815963750437
